Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000063088;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063090;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063143;001;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063149;001;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063189;001;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063283;001;30/09/2020;30/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063069;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063133;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063078;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063124;001;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063233;001;;24/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001815
000063287;001;30/09/2020;30/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063040;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063120;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063155;001;14/09/2020;14/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063197;001;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063227;001;;24/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001815
000063292;001;02/10/2020;02/10/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063087;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063115;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063159;001;14/09/2020;14/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063193;001;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063224;001;;24/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001815
000063265;001;02/10/2020;02/10/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
000063084;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001815
