Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000524219;001;04/09/2017;04/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000530790;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000525634;001;18/09/2017;18/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000519278;001;09/08/2017;09/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000526452;001;18/09/2017;18/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000519534;001;;08/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000527108;001;;22/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000520169;001;14/08/2017;14/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527507;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000520784;001;;14/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000527508;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000521372;001;28/08/2017;28/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000528916;001;;29/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000521854;001;21/08/2017;21/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000528915;001;;29/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000522836;001;28/08/2017;28/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000529890;001;;04/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000523689;001;;30/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000530675;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000523690;001;05/09/2017;05/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000530693;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000524221;001;05/09/2017;05/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000530696;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000519283;001;;04/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000525625;001;15/09/2017;15/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000519514;001;14/08/2017;14/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000526455;001;18/09/2017;18/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000520185;001;14/08/2017;14/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527783;001;;22/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000520998;001;14/08/2017;14/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527788;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000521378;001;21/08/2017;21/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527779;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000521857;001;22/08/2017;22/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000528573;001;;29/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
