Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000040391;003;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091944;001;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040661;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092056;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091734;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000002694;001;17/09/2020;17/09/2020;ENTREGA REALIZADA NORMALMENTE;15469492000136
000091755;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092220;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040930;003;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000008044;000;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;01389269000174
000017348;006;05/08/2020;05/08/2020;ENTREGA REALIZADA NORMALMENTE;07439329000364
000091880;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041565;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040530;003;13/08/2020;13/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091963;001;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040658;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091699;001;;10/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040789;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041267;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000000896;001;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;15596421000102
000092208;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023122;001;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023428;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000040439;003;05/08/2020;05/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000088647;001;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;00165251000207
000041483;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000001672;001;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000554
000041093;003;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040729;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041178;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040786;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000720978;001;17/09/2020;17/09/2020;ENTREGA REALIZADA NORMALMENTE;59609123001220
000091800;001;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041318;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023128;001;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023426;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000040440;003;07/08/2020;07/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092058;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000092441;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000041598;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091495;001;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092024;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040726;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023283;001;14/09/2020;14/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000091711;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041277;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040879;003;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041297;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091884;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000000941;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;15596421000102
000040460;003;07/08/2020;07/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092061;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000010207;001;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000092064;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000091560;001;14/08/2020;14/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091986;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040733;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041197;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091714;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000000600;001;;17/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;23989907000120
000146537;002;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;33592510003501
000041317;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023139;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041563;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000022915;001;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092067;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040637;003;16/08/2020;16/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041089;003;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040730;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041200;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091717;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023339;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000010281;001;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000041408;003;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040982;003;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041560;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040483;003;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092071;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040682;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000010326;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000040684;003;20/08/2020;20/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092125;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023051;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023342;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000091835;001;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041407;003;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040978;003;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041551;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000022916;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092074;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000010239;001;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000023254;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023006;001;20/08/2020;20/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092064;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023054;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041322;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023093;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041409;003;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091901;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092405;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000022923;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040354;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;47982350000164
000022978;001;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023257;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040746;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041212;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000022349;001;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;26807895000164
000022024;006;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;07439329000364
000023095;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041457;003;;24/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091904;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041522;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000022919;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023199;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000018997;006;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;07439329000364
000023260;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040774;003;21/08/2020;21/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041195;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040848;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041335;003;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091885;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092375;001;;24/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040976;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041487;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091477;001;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091941;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091596;001;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041175;003;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040808;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
