Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000121928;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121678;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121865;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121818;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026864;002;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121789;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121831;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121800;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121637;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121867;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121687;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121906;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121720;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121886;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121700;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026851;002;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121803;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121930;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121821;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121648;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121918;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121705;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121924;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121760;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121941;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121723;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026854;002;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121810;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000123162;001;28/01/2019;28/01/2019;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121763;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121681;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121873;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121715;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121933;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121797;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121961;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121702;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121959;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121819;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121774;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121719;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121901;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121644;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121783;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121735;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121971;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121717;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121957;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121842;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121817;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121734;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121920;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121664;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121866;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121926;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121659;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121905;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121748;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121694;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121791;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121854;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121638;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121859;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121782;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121643;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121843;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121662;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121910;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121751;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121690;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121759;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121876;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121673;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121879;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121716;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121875;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121701;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
