Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000016312;001;19/09/2018;19/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000016247;001;12/09/2018;12/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000001046;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000554
000016262;001;19/09/2018;19/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000389494;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000820
000263108;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510004494
000001048;001;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000554
000016399;001;;26/09/2018;ENTREGA PROGRAMADA;58062365000120
000147815;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000145345;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510016409
000016397;001;26/09/2018;26/09/2018;EM ROTA DE ENTREGA;58062365000120
000147940;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148832;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148256;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148818;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148418;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000016321;001;18/09/2018;18/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000557654;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000019788;001;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;02359572000359
000557282;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000560543;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000016220;001;06/09/2018;06/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000560226;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000016225;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000077070;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510044798
000038451;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003501
000001045;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000554
